gender,age,time_of_day,date
0,25,23,0731
0,34,23,0731
0,43,23,0731
0,26,23,0731
0,28,0,0801
0,29,0,0801
0,26,0,0801
0,27,1,0801
0,29,2,0801
0,33,2,0801
0,37,4,0801
0,27,4,0801
0,31,4,0801
0,27,4,0801
0,58,4,0801
0,38,5,0801
0,31,5,0801
0,46,5,0801
0,37,5,0801
0,65,5,0801
0,35,5,0801
0,27,5,0801
0,29,6,0801
0,28,6,0801
0,50,6,0801
0,30,6,0801
0,61,6,0801
0,34,6,0801
0,51,6,0801
0,32,6,0801
0,24,6,0801
0,30,6,0801
0,48,6,0801
0,32,6,0801
0,44,6,0801
0,29,6,0801
0,30,6,0801
0,27,6,0801
0,37,6,0801
0,39,6,0801
0,31,6,0801
0,48,6,0801
0,33,6,0801
0,38,6,0801
0,39,6,0801
0,22,6,0801
0,43,6,0801
0,29,6,0801
0,48,6,0801
0,57,6,0801
0,28,6,0801
0,36,6,0801
0,31,6,0801
0,41,6,0801
0,35,6,0801
0,27,6,0801
0,30,7,0801
0,41,7,0801
0,26,7,0801
0,46,7,0801
0,34,7,0801
0,32,7,0801
0,26,7,0801
0,31,7,0801
0,33,7,0801
0,32,7,0801
0,34,7,0801
0,44,7,0801
0,33,7,0801
0,35,7,0801
0,40,7,0801
0,33,7,0801
0,28,7,0801
0,36,7,0801
0,36,7,0801
0,41,7,0801
0,46,7,0801
0,22,7,0801
0,24,7,0801
0,55,7,0801
0,31,7,0801
0,43,7,0801
0,40,7,0801
0,52,7,0801
0,54,7,0801
0,38,7,0801
0,29,7,0801
0,35,7,0801
0,54,7,0801
0,31,7,0801
0,31,7,0801
0,51,7,0801
0,53,7,0801
0,31,7,0801
0,30,7,0801
0,41,7,0801
0,59,7,0801
0,27,7,0801
0,28,7,0801
0,53,7,0801
0,30,7,0801
0,27,7,0801
0,28,7,0801
0,39,7,0801
0,55,7,0801
0,47,7,0801
0,44,7,0801
0,32,7,0801
0,33,7,0801
0,37,7,0801
0,30,7,0801
0,28,7,0801
0,37,7,0801
0,53,7,0801
0,31,7,0801
0,29,7,0801
0,29,7,0801
0,32,7,0801
0,37,7,0801
0,36,7,0801
0,46,7,0801
0,29,7,0801
0,43,7,0801
0,48,7,0801
0,31,7,0801
0,40,7,0801
0,26,7,0801
0,22,7,0801
0,46,7,0801
0,29,7,0801
0,35,7,0801
0,34,7,0801
0,42,7,0801
0,32,7,0801
0,37,7,0801
0,47,7,0801
0,33,7,0801
0,31,7,0801
0,35,7,0801
0,43,7,0801
0,29,7,0801
0,28,7,0801
0,58,7,0801
0,37,7,0801
0,40,7,0801
0,28,7,0801
0,24,7,0801
0,41,7,0801
0,42,7,0801
0,53,7,0801
0,38,7,0801
0,29,7,0801
0,31,7,0801
0,53,7,0801
0,25,7,0801
0,33,7,0801
0,38,7,0801
0,26,7,0801
0,31,7,0801
0,24,7,0801
0,30,7,0801
0,43,7,0801
0,28,7,0801
0,34,7,0801
0,40,7,0801
0,34,7,0801
0,52,7,0801
0,30,7,0801
0,32,7,0801
0,34,7,0801
0,43,7,0801
0,59,7,0801
0,27,7,0801
0,43,7,0801
0,25,7,0801
0,28,7,0801
0,37,8,0801
0,25,8,0801
0,41,8,0801
0,54,8,0801
0,39,8,0801
0,34,8,0801
0,33,8,0801
0,18,8,0801
0,52,8,0801
0,23,8,0801
0,40,8,0801
0,56,8,0801
0,44,8,0801
0,37,8,0801
0,28,8,0801
0,55,8,0801
0,29,8,0801
0,22,8,0801
0,47,8,0801
0,37,8,0801
0,32,8,0801
0,43,8,0801
0,28,8,0801
0,38,8,0801
0,50,8,0801
0,30,8,0801
0,44,8,0801
0,40,8,0801
0,31,8,0801
0,33,8,0801
0,50,8,0801
0,37,8,0801
0,41,8,0801
0,26,8,0801
0,28,8,0801
0,36,8,0801
0,33,8,0801
0,38,8,0801
0,31,8,0801
0,31,8,0801
0,32,8,0801
0,49,8,0801
0,30,8,0801
0,47,8,0801
0,30,8,0801
0,59,8,0801
0,25,8,0801
0,37,8,0801
0,39,8,0801
0,46,8,0801
0,24,8,0801
0,26,8,0801
0,43,8,0801
0,47,8,0801
0,38,8,0801
0,25,8,0801
0,33,8,0801
0,34,8,0801
0,52,8,0801
0,39,8,0801
0,28,8,0801
0,38,8,0801
0,28,8,0801
0,53,8,0801
0,28,8,0801
0,38,8,0801
0,32,8,0801
0,31,8,0801
0,49,8,0801
0,30,8,0801
0,44,8,0801
0,36,8,0801
0,35,8,0801
0,27,8,0801
0,25,8,0801
0,42,8,0801
0,68,8,0801
0,39,8,0801
0,25,8,0801
0,49,8,0801
0,34,8,0801
0,32,8,0801
0,37,8,0801
