gender,age,hour,date,duration,distance,velocity
0,55,16,0801,1320,0.00,0.00
0,35,19,0815,540,0.00,0.00
1,64,16,0806,1440,0.00,0.00
0,35,11,0818,60,0.00,0.00
0,50,18,0829,1620,0.00,0.00
0,43,10,0819,180,0.00,0.00
1,64,13,0808,1380,0.00,0.00
0,43,11,0819,9300,0.00,0.00
0,46,21,0829,60,0.00,0.00
1,64,10,0805,1320,0.00,0.00
1,31,13,0810,60,0.00,0.00
1,36,19,0822,900,2.38,9.52
0,43,22,0804,1020,2.34,8.26
1,48,18,0814,660,2.14,11.67
1,48,17,0815,720,2.14,10.70
1,48,17,0809,840,2.14,9.17
1,48,17,0805,780,2.14,9.88
0,27,4,0823,660,2.06,11.24
0,33,21,0813,900,2.71,10.84
0,45,13,0804,960,2.35,8.81
0,24,8,0817,1140,2.35,7.42
1,40,17,0829,1200,2.35,7.05
1,40,17,0820,1080,2.35,7.83
0,57,17,0823,1140,2.26,7.14
1,40,12,0816,1560,2.26,5.22
0,35,17,0821,960,2.11,7.91
0,31,9,0830,720,2.11,10.55
0,28,9,0810,900,2.11,8.44
0,26,22,0803,1080,3.40,11.33
0,28,20,0816,1620,3.40,7.56
0,54,11,0805,1080,3.40,11.33
0,34,16,0818,1020,2.20,7.76
1,60,8,0813,1320,0.22,0.60
0,25,8,0812,180,0.22,4.40
0,27,10,0828,240,0.22,3.30
0,25,8,0813,300,0.22,2.64
0,60,16,0819,1080,0.22,0.73
0,27,20,0822,1200,2.03,6.09
0,62,8,0801,420,0.88,7.54
0,25,8,0826,300,0.88,10.56
0,62,8,0805,420,0.88,7.54
0,59,17,0823,360,0.88,8.80
0,53,9,0801,360,0.88,8.80
0,62,8,0821,600,0.88,5.28
0,53,11,0803,360,0.88,8.80
0,25,8,0827,360,0.88,8.80
0,62,8,0806,480,0.88,6.60
0,36,14,0826,240,0.88,13.20
0,52,8,0806,300,0.88,10.56
0,53,8,0825,360,0.88,8.80
0,28,9,0806,420,0.88,7.54
0,53,10,0824,420,0.88,7.54
0,62,9,0802,480,0.88,6.60
0,37,13,0821,480,0.88,6.60
0,25,8,0807,600,0.88,5.28
0,53,9,0823,420,0.88,7.54
0,52,8,0807,480,0.88,6.60
0,59,17,0826,360,0.88,8.80
0,28,9,0807,420,0.88,7.54
0,59,17,0822,360,0.88,8.80
0,53,13,0804,360,0.88,8.80
0,59,17,0827,300,0.88,10.56
0,62,8,0808,420,0.88,7.54
0,62,9,0826,420,0.88,7.54
0,53,9,0808,300,0.88,10.56
0,25,8,0822,360,0.88,8.80
0,33,14,0809,300,0.88,10.56
0,25,8,0821,300,0.88,10.56
0,25,8,0816,240,0.88,13.20
0,53,9,0819,360,0.88,8.80
0,62,8,0812,540,0.88,5.87
0,20,17,0821,420,0.88,7.54
0,53,9,0813,420,0.88,7.54
0,33,13,0821,480,0.88,6.60
0,53,9,0809,360,0.88,8.80
0,28,9,0819,300,0.88,10.56
0,62,8,0815,360,0.88,8.80
0,25,8,0823,300,0.88,10.56
0,28,9,0812,480,0.88,6.60
0,59,17,0830,300,0.88,10.56
0,52,8,0814,600,0.88,5.28
0,62,8,0828,420,0.88,7.54
0,25,8,0814,360,0.88,8.80
0,59,17,0828,360,0.88,8.80
0,25,8,0815,420,0.88,7.54
0,53,9,0829,420,0.88,7.54
0,36,16,0828,420,0.88,7.54
0,25,8,0829,240,0.88,13.20
0,62,8,0829,420,0.88,7.54
0,25,8,0830,300,0.88,10.56
0,34,20,0830,300,0.88,10.56
0,25,8,0828,300,0.88,10.56
0,59,17,0829,300,0.88,10.56
0,52,8,0805,240,0.71,10.65
0,60,12,0829,360,0.71,7.10
0,60,11,0805,240,0.71,10.65
0,25,9,0830,420,0.71,6.09
0,52,8,0801,360,0.71,7.10
0,31,10,0831,540,0.71,4.73
0,47,14,0806,240,0.71,10.65
0,52,9,0829,480,0.71,5.33
0,52,8,0802,300,0.71,8.52
0,30,16,0829,300,0.71,8.52
0,60,11,0802,360,0.71,7.10
0,53,9,0812,300,0.71,8.52
0,32,13,0807,420,0.71,6.09
0,52,9,0809,240,0.71,10.65
0,52,9,0808,240,0.71,10.65
0,53,6,0822,300,0.71,8.52
0,35,9,0821,420,0.71,6.09
0,35,8,0822,240,0.71,10.65
0,53,13,0819,240,0.71,10.65
1,19,11,0814,1740,1.52,3.14
0,27,17,0824,540,1.52,10.13
0,28,16,0831,660,1.52,8.29
0,30,9,0824,540,1.52,10.13
1,19,10,0822,600,1.52,9.12
0,36,15,0811,480,1.52,11.40
1,45,13,0801,780,1.08,4.98
0,16,22,0818,1140,1.08,3.41
0,48,11,0827,480,1.08,8.10
0,26,9,0814,960,1.08,4.05
0,25,10,0817,600,1.08,6.48
1,30,14,0828,360,1.18,11.80
0,50,14,0809,360,1.18,11.80
1,48,18,0820,480,1.18,8.85
0,26,14,0810,720,1.18,5.90
0,59,8,0801,540,1.18,7.87
0,59,8,0802,420,1.18,10.11
1,34,19,0821,1440,0.45,1.13
0,29,20,0802,480,1.46,10.95
1,35,10,0802,2040,1.46,2.58
0,49,12,0806,900,1.46,5.84
0,49,12,0815,720,1.46,7.30
0,40,18,0819,720,1.46,7.30
0,32,17,0817,360,0.82,8.20
0,44,15,0822,300,0.82,9.84
0,45,13,0809,360,0.82,8.20
0,25,13,0827,3360,0.82,0.88
0,44,15,0815,240,0.82,12.30
0,44,15,0820,300,0.82,9.84
1,60,8,0821,420,0.82,7.03
0,40,7,0827,360,0.82,8.20
1,29,12,0823,300,0.82,9.84
0,40,17,0825,360,0.82,8.20
0,59,11,0830,1920,0.82,1.54
0,40,12,0825,360,0.82,8.20
1,33,4,0802,300,0.82,9.84
0,30,16,0825,1620,0.82,1.82
0,25,12,0830,480,0.82,6.15
0,44,15,0819,360,0.82,8.20
1,60,8,0812,420,0.82,7.03
1,29,8,0829,240,0.82,12.30
1,60,8,0819,480,0.82,6.15
1,60,8,0829,360,0.82,8.20
0,41,13,0806,300,0.82,9.84
1,28,8,0827,180,0.65,13.00
0,29,6,0806,180,0.65,13.00
0,58,18,0823,180,0.65,13.00
0,55,18,0828,900,0.65,2.60
0,35,12,0830,180,0.65,13.00
1,28,8,0821,120,0.65,19.50
0,27,10,0824,600,1.16,6.96
0,50,9,0830,540,1.16,7.73
0,27,7,0820,540,1.16,7.73
0,27,13,0830,480,1.16,8.70
0,27,14,0813,480,1.16,8.70
1,50,9,0818,660,1.16,6.33
0,27,6,0816,540,1.16,7.73
0,27,12,0828,600,1.16,6.96
0,28,21,0802,600,1.16,6.96
0,35,11,0801,720,1.16,5.80
0,26,10,0822,720,1.13,5.65
0,26,9,0808,780,1.13,5.22
0,26,9,0819,540,1.13,7.53
0,26,16,0805,720,1.13,5.65
1,28,8,0805,780,1.13,5.22
1,51,7,0828,900,1.13,4.52
0,36,9,0828,600,1.13,6.78
0,27,22,0818,1020,1.13,3.99
1,28,8,0807,660,1.13,6.16
0,29,10,0810,540,1.13,7.53
1,28,8,0813,840,1.13,4.84
0,48,19,0815,540,1.13,7.53
0,26,10,0812,600,1.13,6.78
0,27,16,0812,540,1.13,7.53
1,31,8,0811,840,2.09,8.96
0,28,16,0814,840,2.09,8.96
1,33,11,0802,960,2.09,7.84
1,31,8,0824,1020,2.09,7.38
1,31,8,0817,840,2.09,8.96
1,31,17,0814,900,2.09,8.36
0,25,12,0823,1560,2.87,6.62
1,34,14,0823,1920,2.87,5.38
0,25,9,0829,1440,2.87,7.18
0,32,17,0811,960,1.16,4.35
0,52,18,0829,1680,1.16,2.49
0,24,16,0819,1020,1.16,4.09
0,36,8,0831,420,1.16,9.94
0,26,11,0824,360,1.16,11.60
1,24,17,0811,960,1.16,4.35
0,55,15,0805,600,1.16,6.96
1,36,11,0810,420,0.56,4.80
0,47,16,0805,300,0.56,6.72
0,34,11,0831,300,0.56,6.72
0,52,15,0803,360,0.56,5.60
0,31,20,0828,300,0.56,6.72
0,26,18,0807,240,0.56,8.40
1,48,6,0811,300,0.56,6.72
0,35,12,0820,420,0.56,4.80
0,46,19,0831,420,0.56,4.80
0,53,18,0827,240,0.56,8.40
1,33,22,0802,240,0.56,8.40
0,45,15,0823,300,0.56,6.72
0,47,17,0814,240,0.56,8.40
0,30,23,0824,300,0.56,6.72
0,22,13,0810,420,0.56,4.80
0,50,16,0820,300,0.56,6.72
0,46,15,0811,300,0.56,6.72
1,36,11,0824,540,0.56,3.73
0,35,11,0810,360,0.56,5.60
0,26,19,0816,1980,3.59,6.53
0,30,12,0804,1620,4.08,9.07
0,26,23,0827,1680,4.08,8.74
1,53,7,0810,1860,1.97,3.81
0,30,19,0814,600,1.97,11.82
1,35,10,0823,900,1.83,7.32
0,64,17,0817,1500,1.83,4.39
1,35,8,0819,900,1.83,7.32
1,35,8,0828,1080,1.83,6.10
1,35,8,0813,900,1.83,7.32
1,35,8,0827,960,1.83,6.86
1,26,12,0809,1020,1.83,6.46
1,35,8,0829,900,1.83,7.32
1,35,8,0801,780,1.83,8.45
1,35,8,0826,960,1.83,6.86
1,35,8,0814,840,1.83,7.84
1,35,12,0830,960,1.83,6.86
1,35,8,0812,1020,1.83,6.46
0,64,20,0827,780,1.83,8.45
1,35,11,0809,840,1.83,7.84
0,36,19,0823,780,1.83,8.45
1,35,8,0815,900,1.83,7.32
1,35,8,0821,960,1.83,6.86
1,35,8,0808,960,1.83,6.86
1,35,8,0807,780,1.83,8.45
1,35,8,0820,900,1.83,7.32
1,35,8,0805,900,1.83,7.32
0,44,15,0814,480,1.17,8.78
0,51,8,0830,360,1.17,11.70
0,51,8,0812,480,1.17,8.78
0,42,8,0829,420,1.17,10.03
0,44,13,0809,660,1.17,6.38
0,51,8,0828,420,1.17,10.03
0,51,8,0809,420,1.17,10.03
0,42,8,0830,480,1.17,8.78
0,51,8,0815,420,1.17,10.03
0,51,8,0822,420,1.17,10.03
0,51,8,0813,540,1.17,7.80
0,51,8,0819,480,1.17,8.78
0,51,8,0814,540,1.17,7.80
0,51,8,0820,480,1.17,8.78
0,51,8,0816,360,1.17,11.70
0,51,8,0823,480,1.17,8.78
0,51,8,0805,420,1.17,10.03
0,51,8,0826,420,1.17,10.03
0,51,8,0806,480,1.17,8.78
0,51,8,0827,480,1.17,8.78
0,51,8,0807,480,1.17,8.78
0,34,8,0820,540,1.17,7.80
0,40,21,0804,360,1.17,11.70
0,51,8,0821,420,1.17,10.03
0,51,8,0808,360,1.17,11.70
0,42,8,0826,420,1.17,10.03
0,42,8,0820,480,1.17,8.78
0,25,20,0830,1680,4.55,9.75
0,46,19,0809,1020,2.31,8.15
1,29,16,0824,780,2.31,10.66
0,56,16,0824,480,0.97,7.28
1,19,10,0828,360,0.97,9.70
0,37,8,0802,600,0.97,5.82
1,64,11,0828,720,0.97,4.85
1,19,10,0813,420,0.97,8.31
1,19,9,0826,480,0.97,7.28
1,64,10,0801,1260,0.97,2.77
1,19,10,0807,480,0.97,7.28
1,64,11,0809,960,0.97,3.64
1,19,9,0816,480,0.97,7.28
1,19,10,0821,480,0.97,7.28
1,63,17,0819,540,0.97,6.47
0,59,16,0830,3720,0.97,0.94
0,52,14,0824,960,2.22,8.33
0,28,8,0828,780,1.42,6.55
0,29,7,0822,360,1.42,14.20
0,48,0,0901,480,1.42,10.65
0,49,16,0820,360,1.42,14.20
0,60,18,0828,540,1.42,9.47
0,59,16,0823,600,1.42,8.52
1,38,19,0818,1080,1.42,4.73
0,60,16,0820,420,1.42,12.17
1,29,8,0827,1560,1.42,3.28
0,29,12,0820,300,1.42,17.04
0,40,19,0818,1080,1.42,4.73
0,60,17,0823,420,1.42,12.17
0,49,12,0809,360,1.42,14.20
0,59,16,0823,600,1.42,8.52
0,53,17,0812,540,1.42,9.47
0,60,16,0826,660,1.42,7.75
0,49,16,0814,360,1.42,14.20
0,60,16,0827,480,1.42,10.65
0,60,16,0813,540,1.42,9.47
0,28,9,0820,840,1.42,6.09
0,60,16,0812,420,1.42,12.17
0,29,6,0823,360,1.42,14.20
0,29,6,0813,360,1.42,14.20
0,35,6,0821,600,1.42,8.52
0,60,16,0816,540,1.42,9.47
0,48,17,0826,480,1.42,10.65
0,49,15,0816,420,1.42,12.17
0,46,15,0823,600,1.42,8.52
0,49,16,0813,360,1.42,14.20
0,60,16,0821,600,1.42,8.52
0,49,16,0808,420,1.42,12.17
0,53,8,0805,720,1.42,7.10
0,60,16,0814,600,1.42,8.52
0,60,16,0805,360,1.42,14.20
0,49,16,0812,480,1.42,10.65
0,49,17,0805,300,1.42,17.04
0,53,17,0815,360,1.42,14.20
0,29,6,0802,360,1.42,14.20
0,60,17,0808,480,1.42,10.65
0,49,16,0806,360,1.42,14.20
0,29,6,0801,360,1.42,14.20
0,55,16,0807,720,1.42,7.10
0,49,16,0807,300,1.42,17.04
0,55,16,0802,600,1.42,8.52
0,49,15,0802,420,1.42,12.17
0,60,16,0802,540,1.42,9.47
1,27,18,0812,1680,1.12,2.40
0,43,4,0804,480,1.12,8.40
0,30,17,0823,540,1.12,7.47
0,26,9,0801,840,1.50,6.43
0,26,9,0822,600,1.50,9.00
0,26,9,0806,660,1.50,8.18
0,26,9,0826,600,1.50,9.00
0,59,16,0803,540,1.50,10.00
0,40,8,0820,660,1.50,8.18
0,22,6,0807,480,1.50,11.25
0,49,16,0826,480,1.50,11.25
0,26,10,0807,600,1.50,9.00
0,26,10,0823,600,1.50,9.00
0,26,7,0808,600,1.50,9.00
0,36,8,0821,600,1.50,9.00
0,42,12,0815,600,1.50,9.00
0,26,9,0827,480,1.50,11.25
0,40,8,0813,600,1.50,9.00
0,49,16,0827,480,1.50,11.25
0,26,9,0809,480,1.50,11.25
0,26,9,0819,540,1.50,10.00
0,53,10,0817,600,1.50,9.00
0,49,16,0819,480,1.50,11.25
0,26,9,0815,720,1.50,7.50
0,30,13,0827,600,1.50,9.00
0,26,9,0814,660,1.50,8.18
0,26,9,0821,600,1.50,9.00
0,53,8,0810,540,1.50,10.00
0,37,17,0823,480,1.50,11.25
0,26,9,0816,540,1.50,10.00
1,19,16,0828,540,1.50,10.00
0,40,8,0809,660,1.50,8.18
1,19,16,0807,720,1.50,7.50
0,26,8,0828,660,1.50,8.18
0,26,10,0829,540,1.50,10.00
1,19,18,0804,720,1.50,7.50
1,19,17,0806,840,1.50,6.43
1,19,16,0812,660,1.50,8.18
0,53,18,0828,660,1.50,8.18
0,36,8,0803,720,2.15,10.75
1,35,12,0810,1020,2.15,7.59
1,58,13,0806,1020,2.15,7.59
0,47,8,0820,540,1.07,7.13
1,60,8,0814,540,1.07,7.13
0,36,9,0824,480,1.07,8.03
1,60,8,0820,540,1.07,7.13
0,32,14,0823,540,1.07,7.13
1,59,13,0801,600,1.07,6.42
0,32,14,0823,540,1.07,7.13
0,32,9,0829,480,1.07,8.03
0,31,13,0826,420,1.07,9.17
1,34,19,0810,900,1.07,4.28
0,41,9,0822,480,1.07,8.03
0,64,15,0831,360,1.07,10.70
0,32,13,0821,360,1.07,10.70
1,60,8,0806,600,1.07,6.42
0,33,12,0824,540,1.07,7.13
0,32,16,0830,420,1.07,9.17
0,47,7,0821,540,1.07,7.13
1,60,8,0801,600,1.07,6.42
0,32,13,0827,480,1.07,8.03
1,60,8,0808,600,1.07,6.42
0,32,14,0820,480,1.07,8.03
1,60,8,0805,480,1.07,8.03
0,44,15,0813,360,1.07,10.70
1,60,8,0815,480,1.07,8.03
0,40,8,0815,540,1.07,7.13
1,60,8,0828,540,1.07,7.13
0,44,15,0812,300,1.07,12.84
1,60,9,0827,480,1.07,8.03
0,32,14,0816,480,1.07,8.03
1,60,9,0826,600,1.07,6.42
0,26,8,0817,600,1.07,6.42
1,34,9,0824,540,1.07,7.13
1,64,10,0829,720,1.07,5.35
0,25,8,0822,1260,2.54,7.26
1,31,11,0818,2220,3.36,5.45
1,30,22,0804,1860,3.17,6.14
1,53,14,0825,1860,4.78,9.25
0,42,17,0823,480,2.43,18.23
